KEM_Q,KEM_LEVEL,KEM_MESSAGE_BIT_LENGTH,KEM_N,KEM_K,KEM_ETA1,KEM_ETA2,KEM_N_BLOCKS_FOR_DU0,KEM_DU0,KEM_DU1,KEM_DV,CODE_ALPHA,CODE_BETA,DFR
16384,1,128,64,9,2,0,9,10,0,5,4096,1300,4.7186224831427482549835441040332267137001333954771712156619289810750998314169709e-26
16384,1,128,64,9,2,0,9,10,0,5,4096,1310,7.5089186701735794036670155386887561925201477054417046659751486953903672173620779e-26
16384,1,128,64,9,2,0,9,10,0,5,4096,1320,1.1926933397721509874037721514511746984565166153444812160424422848905512069863836e-25
16384,1,128,64,9,2,0,9,10,0,5,4096,1330,1.8909026676911749352822817008291604569207645437645896587354550792568008391350556e-25
16384,1,128,64,9,2,0,9,10,0,5,4096,1340,2.9922532550491494430438491142049493640037061363079369808334681331962423868024719e-25
16384,1,128,64,9,2,0,9,10,0,5,4096,1350,4.7262440977821140132339487285509850583075992074309644183955225962821570803552280e-25
16384,1,128,64,9,2,0,9,10,0,5,4096,1360,7.4511348666968966046185521042877628510178029389974217066119566923950543315110184e-25
16384,1,128,64,9,2,0,9,10,0,5,4096,1370,1.1725113017684776701341304646224551613584072528319133856408831089785218279087504e-24
16384,1,128,64,9,2,0,9,10,0,5,4096,1380,1.8416192926209769897181924053020883657644383757617798585687871995577087978415503e-24
16384,1,128,64,9,2,0,9,10,0,5,4096,1390,2.8871593407234337335647952213969052038798854633279312129336232001837878600433497e-24
16384,1,128,64,9,2,0,9,10,0,5,4096,1400,4.5178271061557899096119559021633130384933499440147662920603281258070307465155804e-24
16384,1,128,64,9,2,0,9,10,0,5,4096,1410,7.0562880161661678740390099140087973849371951324149836814404049541796212602409596e-24
16384,1,128,64,9,2,0,9,10,0,5,4096,1420,1.1000456682421649535285568986902925253939942738952537949841488040651272353991882e-23
16384,1,128,64,9,2,0,9,10,0,5,4096,1430,1.7117200742577645094356472869585098148091119248440325686505974169877551455341053e-23
16384,1,128,64,9,2,0,9,10,0,5,4096,1440,2.6585343564437829334901093758735700794777579250289053432251316665189592697267047e-23
16384,1,128,64,9,2,0,9,10,0,5,4096,1450,4.1213472677396094122643591528975257661823312202544606523159522535732021987153154e-23
16384,1,128,64,9,2,0,9,10,0,5,4096,1460,6.3771031408803465611377543548093338282904675889098069079396703671848509613738159e-23
16384,1,128,64,9,2,0,9,10,0,5,4096,1470,9.8490620199310688676946375944563486419855227712372149478267417219349072317499607e-23
